ECRITCOMPTAARTICLE,Écriture comptable article,32,

N° séquence,N° article,N° origine,Quantité
1,PI106,C0422,-18.3
2,70298,C0422,-324.29
3,RO047,C0549,-204
4,RO060,C0549,-150
5,70223,C0430,-109.89
6,RO047,C0430,-136
7,70316,C0565,-44.35
8,RO047,C0565,-136
9,RO060,C0565,-100
10,PI053,C0474,-424.99
11,70288,C0474,-45
12,70288,C0596,-15
13,PI053,C0596,-249.65
14,MAS011,FI0022,1000
15,CA034,FI0022,4821
16,PI023,FI0022,7428
17,PI022,FI0022,10349
18,RO050,FI0022,1000
19,RO067,FI0052,16603.304
20,BA055,FI0052,11411.72
21,PI054,FI0057,25224.96
22,PI042,C0598,-64.64
23,70316,C0598,-36.55
24,RO047,C0598,-95.2
25,70303,FI0022,18000
26,70304,FI0022,4499.58
27,RO081,FI0022,3000
28,RO047,C0599,-136
29,RO060,C0599,-50
30,70316,C0599,-13.6
31,RO060,C0545,-200
32,RO047,C0545,-408
33,70316,C0545,-658.15
34,RO047,C0424,-27.2
35,RO047,C0425,-1360
36,RO060,C0425,-500
37,RO047,C0543,-544
38,RO060,C0543,-100
39,70316,C0543,-66.05
40,RO047,C0569,-136
41,70316,C0569,-98.7
42,70316,C0501,-56.2
43,RO047,C0401,-27.2
44,RO060,C0401,-10
45,70316,C0401,-16.1
46,RO047,C0602,-68
47,70316,C0602,-14.3
48,PI106,C0569,-37.55
49,70288,C0569,-15
50,PI053,C0414,-59.86
51,PI053,C0409,-20.21
52,PI106,C0409,-21.6
53,PI053,C0393,-37.63
54,PI053,C0393,-39.38
55,PI106,C0393,-37.05
56,PI053,C0449,-40.53
57,RO060,C0544,-250
58,RO047,C0544,-340
59,MAS020,C0519,-10
60,RO047,C0587,-1224
61,RO060,C0587,-300
62,70316,C0587,-274.251
63,PI021,C0587,-283.2
64,PI106,C0587,-58.8
65,RO060,C0463,-500
66,70223,C0463,-288.75
67,70288,C0463,-150
68,RO047,C0463,-2040
69,CA008,C0463,-50
70,70316,C0510,-193.45
71,RO047,C0510,-13.6
72,70288,C0510,-15
73,CA008,C0466,-50
74,70316,C0466,-210.25
75,RO047,C0466,-1088
76,RO060,C0466,-500
77,PI053,C0418,-56.87
78,PI053,C0418,-20.2
79,PI053,C0500,-36.74
80,PI106,C0500,-63.35
81,PI053,C0419,-298.19
82,PI106,C0419,-59.05
83,PI053,C0609,-164.71
84,PI106,C0609,-145.37
85,70316,C0608,-137.1
86,PI053,C0493,-45.67
87,PI042,C0493,-24.64
88,RO047,C0493,-27.2
89,RO081,C0550,-3000
90,RO047,C0561,-40.8
91,RO047,C0469,-136
92,RO060,C0469,-50
93,70316,C0469,-40.95
94,70288,C0612,-120
95,RO047,C0613,-136
96,RO060,C0613,-50
97,70223,C0613,-17.95
98,PI042,C0398,-102.58
99,PI053,C0601,-105.47
100,PI042,C0601,-110.7
101,PI053,C0605,-236.13
102,70288,C0605,-60
103,MAS020,C0605,-10
104,70316,C0614,-97.1
105,RO047,C0615,-95.2
106,70316,C0615,-132.8
107,RO047,C0525,-1360
108,RO060,C0525,-500
109,70316,C0525,-282
110,PI042,C0483,-45.1
111,PI053,C0483,-52.52
112,PI042,C0487,-282.42
113,RO047,C0399,-136
114,RO060,C0399,-20
115,70316,C0399,-94.75
116,PI053,C0528,-106.09
117,70316,C0567,-26.95
118,RO047,C0567,-204
119,70316,C0408,-116.25
120,RO047,C0408,-136
121,RO060,C0408,-50
122,70316,C0617,-30.65
123,RO060,C0617,-10
124,70288,C0617,-15
125,PI053,C0490,-43.52
126,PI042,C0490,-49.95
127,PI106,C0490,-20
128,PI053,C0606,-42.6
129,70288,C0606,-15
130,70316,C0525,-217.2
131,70288,C0525,-225
132,RO047,C0621,-136
133,70316,C0621,-64.7
134,70223,C0610,-191.18
135,RO047,C0610,-544
136,RO060,C0610,-200
137,70289,C0616,-2720
138,70291,C0616,-1500
139,70316,C0616,-1427
140,MAS020,C0616,-200
141,CA030,C0616,-883
142,CA034,C0616,-1000
143,70297,C0526,-3574.32
144,FO022,FI0040,13128.865
145,70306,FI0040,2200
146,BA030,FI0040,5500
147,MU007,FI0040,4000
148,70316,C0454,-202.15
149,70227,FI0022,27000
150,PI042,C0618,-113.08
151,PI053,C0618,-107.29
152,TR026,FI0033,27400
153,70316,C0626,-156.95
154,RO047,C0521,-136
155,70316,C0521,-53.2
156,PI042,C0619,-800.2
157,PI106,C0625,-37.25
158,PI042,C0625,-24.56
159,PI053,C0451,-228.34
160,PI106,C0451,-18.6
161,FO022,FI0040,16535.725
162,70306,FI0040,1500
163,BA030,FI0040,4000.18
164,MU007,FI0040,2400
165,PI042,C0479,-93.64
166,CA062,FI0017,18397.26
167,GA015,FI0017,6643
168,70223,C0455,-215.31
169,70316,C0576,-264.6
170,RO047,C0576,-680
171,RO060,C0576,-300
172,BA009,C0628,-10
173,PI053,C0628,-18.43
174,PI053,C0531,-59.26
175,PI042,C0531,-41.12
176,BA009,C0531,-20
177,70297,C0518,-548.85
178,PI053,C0422,-264.43
179,PI106,C0422,-21.3
180,PI053,C0604,-62.44
181,70288,C0604,-15
182,PI042,C0590,-184.24
183,BA009,C0590,-10
184,CA008,C0590,-20
185,PI053,C0600,-108.7
186,PI042,C0600,-116.64
187,70316,C0600,-201
188,70287,C0600,-40
189,RO047,C0600,-476
190,RO060,C0600,-50
191,PI053,C0607,-349.85
192,70223,C0607,-18.6
193,RO047,C0607,-272
194,PI106,C0607,-66.99
195,PI053,C0625,-17.98
196,CA062,C0622,-214.2
197,70316,C0622,-28.55
198,CA062,C0427,-338.08
199,GA015,C0427,-78
200,70288,C0427,-150
201,70316,C0427,-142.25
202,70287,C0427,-19
203,70316,C0475,-81.3
204,CA062,C0475,-220.66
205,GA015,C0475,-39
206,CA062,C0612,-139.1
207,70287,C0612,-15
208,CA062,C0440,-20.18
209,CA062,C0627,-218.2
210,70316,C0627,-60.85
211,CA062,C0615,-47.22
212,CA062,C0425,-2245.86
213,GA015,C0425,-650
214,CA062,C0525,-313.18
215,70287,C0525,-16
216,GA015,C0525,-130
217,CA062,C0524,-423.26
218,70287,C0524,-17
219,GA015,C0524,-65
220,CA062,C0459,-217.36
221,GA015,C0459,-195
222,PI053,C0459,-37.06
223,70287,C0459,-13
224,CA062,C0396,-323.42
225,GA015,C0396,-195
226,70287,C0396,-19
227,CA062,C0445,-231.62
228,GA015,C0445,-65
229,70287,C0445,-18
230,70287,C0623,-32
231,70288,C0623,-30
232,CA008,C0623,-50
233,CA062,C0623,-108.36
234,70316,C0623,-71
235,GA015,C0623,-130
236,CA062,C0534,-440.44
237,70287,C0534,-18
238,70316,C0534,-39.15
239,RO047,C0534,-27.2
240,70288,C0475,-30
241,PI053,C0475,-20.92
242,GA015,C0621,-65
243,70316,C0457,-40.15
244,CA062,C0457,-23.36
245,GA015,C0457,-26
246,BA009,C0505,-20
247,PI053,C0505,-123.61
248,70316,C0505,-38.2
249,CA062,C0505,-132.42
250,70287,C0505,-18
251,GA015,C0505,-39
252,CA062,C0463,-659.48
253,GA015,C0463,-260
254,70287,C0463,-20
255,CA062,C0565,-157.22
256,MAS020,C0565,-30
257,70287,C0565,-15
258,PI053,C0480,-718.92
259,PI106,C0480,-59.3
260,CA062,C0556,-218.82
261,70287,C0556,-20
262,70316,C0396,-192.75
263,GA015,C0396,-65
264,PI053,C0396,-41.1
265,CA062,C0630,-209.74
266,70287,C0630,-19
267,GA015,C0524,-104
268,CA062,C0587,-672.72
269,70287,C0587,-40
270,GA015,C0587,-260
271,GA015,C0629,-260
272,CA062,C0629,-623.42
273,70287,C0629,-36
274,CA062,C0632,-900.6
275,GA015,C0632,-390
276,70287,C0632,-22
277,PI042,C0633,-600.56
278,70223,C0633,-101.01
279,70316,C0396,-177.1
280,GA015,C0396,-13
281,PI053,C0635,-197.98
282,PI042,C0635,-208.15
283,70288,C0635,-15
284,70316,C0526,-69.1
285,70316,C0408,-99.05
286,70316,C0544,-298.25
287,CA062,C0640,-44.8
288,CA062,C0638,-77.48
289,70316,C0638,-14.5
290,PI053,C0642,-212.41
291,PI106,C0642,-286.95
292,CA062,C0642,-45.38
293,70316,C0642,-26.4
294,PI042,C0642,-110.13
295,70288,C0642,-15
296,70287,C0634,-16
297,CA062,C0634,-222.08
298,CA008,C0644,-10
299,PI053,C0468,-37.06
300,CA062,C0421,-465.14
301,70287,C0421,-20
302,GA015,C0639,-195
303,70288,C0639,-225
304,CA062,C0639,-107.24
305,70316,C0510,-140.9
306,CA062,C0510,-312.24
307,70287,C0510,-15
308,CA062,C0637,-223.98
309,70287,C0637,-49
310,70316,C0637,-71.2
311,GA015,C0637,-65
312,CA062,C0613,-109.62
313,70223,C0613,-58.41
314,70288,C0510,-30
315,CA062,C0510,-53.04
316,CA062,FI0017,25874.32
317,70316,C0643,-252
318,BA009,C0542,-300
319,GA015,C0542,-65
320,70297,C0515,-1179
321,70316,C0515,-142.9
322,CA062,C0515,-109.76
323,CA008,C0639,-100
324,GA015,C0547,-130
325,70316,C0547,-136.95
326,CA062,C0547,-112.34
327,70316,C0648,-345.88
328,GA015,C0648,-195
329,70290,C0651,-60.65
330,70290,C0652,-77.92
331,70290,C0430,-156.96
332,CA062,C0649,-432.92
333,70223,C0649,-198.89
334,70287,C0649,-32
335,CA062,C0647,-226.98
336,70288,C0647,-45
337,GA015,C0647,-65
338,70287,C0647,-12
339,CA062,C0645,-80.92
340,70316,C0645,-85.5
341,GA015,C0645,-26
342,70288,C0591,-45
343,CA062,C0591,-109.1
344,70316,C0591,-15.85
345,70291,C0591,-90
346,GA015,C0546,-78
347,70288,C0546,-30
348,PI106,C0546,-40.5
349,PI053,C0546,-166.09
350,CA062,C0395,-110.88
351,GA015,C0395,-130
352,70290,C0395,-72.91
353,CA062,C0440,-100.26
354,70316,C0440,-25.25
355,70223,C0440,-9.3
356,GA015,C0520,-195
357,70223,C0520,-187.31
358,CA062,C0646,-1096.32
359,GA015,C0646,-650
360,70287,C0646,-177
361,70316,C0646,-630
362,70223,C0646,-521.49
363,70290,C0646,-1651.77
364,PI106,C0646,-2024.81
365,70290,C0645,-48.92
366,70291,C0453,-30
367,CA062,C0560,-105.38
368,70316,C0560,-105.3
369,PI042,C0560,-43.32
370,PI053,C0650,-2023.05
371,70290,C0650,-168.71
372,70291,C0650,-300
373,CA062,C0516,-230.84
374,70287,C0516,-20
375,CA062,C0454,-115.2
376,70290,C0454,-319.67
377,70290,C0578,-12.81
378,CA062,C0524,-335.3
379,70287,C0524,-17
380,CA062,C0525,-317.86
381,GA015,C0525,-130
382,70287,C0525,-18
383,70297,C0466,-955.53
384,70290,C0466,-153.27
385,CA062,C0466,-115.4
386,PI053,C0419,-208.26
387,CA062,C0641,-100.68
388,70316,C0641,-27.05
389,GA015,C0641,-65
390,PI053,C0596,-116.82
391,PI106,C0596,-21.25
392,BA009,C0596,-20
393,PI053,C0422,-641.02
394,PI106,C0422,-98.23
395,BA009,C0422,-10
396,PI053,C0606,-85.72
397,70288,C0606,-15
398,GA015,C0472,-39
399,PI053,C0472,-66.48
400,70288,C0472,-30
401,CA062,C0550,-549.46
402,GA015,C0550,-130
403,70287,C0550,-32
404,70291,C0550,-150
405,70290,C0653,-2310.79
406,PI106,C0653,-4021.29
407,PI042,C0653,-2269.1
408,GA015,C0653,-520
409,70290,C0577,-110.41
410,PI053,C0480,-809.09
411,PI106,C0480,-85.07
412,PI053,C0474,-311.76
413,BA009,C0474,-60
414,PI042,C0474,-44.37
415,PI106,C0474,-21.05
416,70291,C0474,-30
417,70290,C0527,-450.68
418,70290,C0574,-387.81
419,CA062,C0437,-226.34
420,GA015,C0437,-91
421,70316,C0437,-121.2
422,70287,C0437,-22
423,PI053,C0654,-196.56
424,PI106,C0654,-19.1
425,GA015,C0654,-13
426,70290,C0441,-72.28
427,70291,C0441,-15
428,GA015,C0441,-13
429,70290,C0655,-460.18
430,RO097,FI0053,25160
431,CA062,C0588,-207.28
432,70287,C0588,-18
433,PI042,C0442,-17.7
434,PI053,C0442,-42.27
435,CA062,C0636,-223.24
436,GA015,C0636,-65
437,70316,C0636,-39
438,70287,C0636,-15
439,70291,C0468,-15
440,70290,C0656,-151.59
441,70291,C0656,-45
442,70290,C0575,-301.74
443,70290,C0588,-12.62
444,PI053,C0657,-62.31
445,PI042,C0657,-45.52
446,CA008,C0657,-20
447,70291,C0657,-15
448,BA030,C0657,-20
449,MU007,C0657,-20
450,70297,C0657,-14.95
451,70303,C0657,-40
452,70297,C0658,-368.9
453,PI053,C0449,-19.66
454,PI042,C0449,-24.6
455,70303,C0660,-700
456,BA030,C0660,-100
457,70291,C0660,-15
458,MU007,C0660,-120
459,PI053,C0659,-179.54
460,PI106,C0659,-22.21
461,BA030,C0659,-80
462,70291,C0659,-15
463,CA034,C0492,-220
464,BA004,C0492,-40
465,70287,C0492,-19
466,70290,C0492,-66.18
467,RO050,C0492,-100
468,RO060,C0660,-100
469,CA062,C0454,-105.4
470,70291,C0454,-75
471,70287,C0454,-17
472,70297,C0454,-110.55
473,PI053,C0662,-204.28
474,BA004,C0662,-60
475,MU005,C0662,-80
476,BA030,C0477,-60
477,70299,C0477,-30.78
478,MAS011,C0477,-60
479,MU007,C0477,-60
480,PI042,C0477,-455.68
481,PI053,C0538,-179.96
482,70291,C0538,-15
483,PI106,C0538,-18
484,70297,C0538,-55.05
485,MU007,C0538,-20
486,70297,C0454,-88.4
487,CA034,C0516,-400
488,70297,C0516,-202.55
489,BA030,C0516,-60
490,70291,C0516,-75
491,70287,C0516,-32
492,CA034,C0408,-120.05
493,70287,C0408,-17
494,RO050,C0408,-100
495,RO060,C0408,-20
496,70306,C0408,-60
497,70290,C0408,-95.25
498,70297,C0430,-121.55
499,70290,C0430,-122.53
500,PI053,C0467,-169.91
501,MU007,C0467,-39
502,BA030,C0662,-60
503,MU007,C0662,-60
504,PI053,C0662,-204.28
505,PI053,C0414,-41.4
506,70290,C0426,-15.06
507,70290,C0518,-728.36
508,MU007,C0414,-79
509,PI053,C0414,-45.02
510,70306,C0621,-60
511,70287,C0621,-17
512,MU007,C0621,-40
513,MU007,C0661,-200
514,CA062,C0661,-227.48
515,70287,C0661,-18
516,BA030,C0661,-60
517,70297,C0661,-122.85
518,70291,C0661,-105
519,70290,C0424,-146.12
520,PI053,C0418,-65.68
521,MU007,C0662,-20
522,70306,C0516,-60
523,70291,C0516,-75
524,RO060,C0664,-200
525,70291,C0664,-75
526,PI106,C0664,-398.07
527,70299,C0664,-39.88
528,70306,C0664,-60
