ECRITCOMPTAARTICLE,Écriture comptable article,32,
529,70287,C0664,-20
530,70290,C0664,-47.1
531,PI042,C0667,-436.68
532,RO060,C0667,-100
533,MU007,C0667,-100
534,70291,C0667,-75
535,70290,C0667,-155.46
536,RO050,C0529,-100
537,70290,C0529,-542.25
538,70306,C0394,-60
539,CA034,C0394,-100
540,70290,C0394,-45.91
541,BA004,C0394,-60
542,MU007,C0394,-20
543,RO050,C0394,-100
544,70287,C0394,-15
545,MU007,C0501,-60
546,70287,C0506,-20
547,70290,C0401,-15.54
548,PI053,C0420,-200.77
549,PI042,C0420,-43.25
550,PI106,C0420,-18.95
551,RO050,C0540,-140
552,RO050,C0486,-200
553,70287,C0486,-17
554,RO060,C0486,-30
555,70306,C0486,-60
556,MU007,C0531,-18
557,BA030,C0531,-40
558,PI053,C0531,-93.37
559,RO060,C0521,-40
560,BA030,C0421,-100
561,70291,C0421,-15
562,CA034,C0668,-200
563,BA030,C0668,-100
564,70287,C0668,-34
565,70290,C0441,-203
566,70291,C0441,-45
567,RO060,C0671,-100
568,BA030,C0395,-60
569,70291,C0395,-15
570,BA030,C0591,-60
571,70291,C0591,-75
572,70290,C0591,-29.98
573,70297,C0515,-472.5
574,CA034,C0515,-300
575,70306,C0515,-100
576,70287,C0515,-17
577,RO060,C0515,-20
578,RO050,C0515,-100
579,BA004,C0663,-60
580,70290,C0663,-39.19
581,CA008,C0663,-20
582,70306,C0394,60
583,CA034,C0394,100
584,70290,C0394,45.91
585,BA004,C0394,60
586,MU007,C0394,20
587,RO050,C0394,100
588,70287,C0394,15
589,BA030,C0524,-60
590,70306,C0524,-60
591,CA034,C0524,-400
592,70287,C0524,-34
593,70291,C0524,-15
594,PI053,C0669,-144.01
595,BA030,C0665,-100
596,70291,C0665,-30
597,BA030,C0666,-100
598,70291,C0666,-15
599,CA034,C0666,-40
600,BA030,C0612,-60
601,70291,C0612,-75
602,70290,C0612,-117.56
603,CA034,C0612,-40
604,CA034,C0445,-100.05
605,BA004,C0445,-100
606,70287,C0445,-18
607,70306,C0445,-60
608,BA004,C0457,-60
609,CA034,C0457,-40
610,70290,C0457,-74.06
611,BA066,C0457,-15
612,RO050,C0457,-80
613,70306,C0540,-60
614,70290,C0547,-591.28
615,70290,C0674,-16.64
616,MU007,C0672,-58.002
617,70291,C0672,-45
618,RO050,C0493,-20
619,PI053,C0493,-80.94
620,BA030,C0493,-20
621,RO060,C0521,-70
622,70290,C0521,-149.84
623,PI053,C0673,-347.94
624,MU007,C0673,-99
625,PI106,C0673,-81.05
626,BA030,C0663,-80
627,70290,C0663,-25.39
628,CA008,C0663,-20
629,PI042,C0479,-239.3
630,70290,C0670,-276.57
631,70303,C0667,-280
632,PI053,C0528,-121.19
633,BA030,C0528,-20
634,MU007,C0528,-20
635,70287,C0612,-53.001
636,70291,C0612,-75
637,RO060,C0645,-100
638,70290,C0645,-30.67
639,70306,C0645,-20
640,70306,C0394,-60
641,CA034,C0394,-100
642,70290,C0394,-45.91
643,BA030,C0394,-100
644,MU007,C0394,-20
645,70287,C0394,-15
646,CA034,C0445,-100
647,BA030,C0445,-60
648,70287,C0445,-19
649,PI053,C0675,-22.4
650,BA004,C0663,60
651,70290,C0663,39.19
652,CA008,C0663,20
653,BA004,C0457,60
654,CA034,C0457,40
655,70290,C0457,74.06
656,BA066,C0457,15
657,RO050,C0457,80
658,CA034,C0445,100.05
659,BA004,C0445,100
660,70287,C0445,18
661,70306,C0445,60
662,RO060,C0588,-150
663,70290,C0588,-28.92
664,70290,C0459,-305.61
665,BA004,C0459,-100
666,70291,C0459,-30
667,CA008,C0639,-100
668,70291,C0639,-150
669,BA030,C0639,-100
670,70290,C0641,-31.96
671,BA030,C0641,-60
672,70290,C0575,-329.83
673,BA030,C0525,-100
674,70291,C0525,-75
675,70290,C0525,-598.25
676,CA034,C0525,-200
677,70287,C0525,-31
678,70290,C0440,-29.56
679,BA030,C0457,-60
680,CA034,C0457,-40
681,70290,C0457,-74.06
682,70291,C0457,-15
683,RO050,C0457,-80
684,CA034,C0463,-300
685,RO060,C0463,-200
686,70306,C0463,-100
687,BA030,C0463,-100
688,70290,C0463,-588.07
689,70291,C0463,-150
690,CA034,C0425,-800
691,70306,C0425,-300
692,BA030,C0425,-400
693,FO022,C0425,-1168.09
694,70290,C0459,-305.61
695,BA030,C0459,-100
696,70291,C0459,-30
697,70306,C0582,-120
698,70287,C0582,-16
699,CA062,C0582,-225.44
700,BA030,C0439,-400.18
701,CA062,C0439,-1110.12
702,RO060,C0439,-200
703,PI053,C0606,-43.06
704,70291,C0606,-15
705,BA030,C0520,-100
706,70291,C0520,-30
707,BA030,C0627,-60
708,70291,C0627,-15
709,70290,C0627,-90.16
710,70303,C0411,-1820
711,MAS011,C0411,-100
712,MU007,C0411,-100
713,CA034,C0636,-200
714,70290,C0636,-45.29
715,70287,C0636,-16
716,PI106,C0480,-95.37
717,PI053,C0480,-806.82
718,CA034,C0587,-1261.32
719,70287,C0587,-131.005
720,CA062,C0587,-66.18
721,70290,C0459,305.61
722,BA004,C0459,100
723,70291,C0459,30
724,70290,C0676,-313.64
725,70291,C0676,-150
726,CA062,C0588,-87
727,70287,C0588,-17
728,70306,C0573,-20
729,70290,C0573,-46.46
730,70290,C0677,-446.39
731,70306,C0677,-20
732,CA062,C0677,-39.26
733,RO060,C0677,-150
734,70306,C0650,-180
735,BA030,C0678,-60
736,MU007,C0678,-100
737,CA034,C0678,-100
738,70287,C0678,-15
739,BA066,C0678,-15
740,70290,C0678,-44.71
741,RO050,C0678,-80
742,70306,C0678,-60
743,CA062,C0632,-735.48
744,70306,C0632,-100
745,70287,C0632,-19
746,BA030,C0632,-200
747,CA034,C0587,-440
748,CA062,C0587,-66.18
749,70287,C0587,-60
750,CA034,C0587,1261.32
751,70287,C0587,131.005
752,CA062,C0587,66.18
753,PI028,,6420
754,GA015,,-689
755,70309,,10857
756,70290,,23200.29
757,70310,,9550
758,70300,FI0033,15485.99
759,70301,FI0033,9156.71
760,70291,,12780
761,70303,,-15160
762,70303,,14880
763,70299,,147.6
764,70287,,13383.001
765,EN003,,364
766,70297,,9839
767,PI042,FI0027,12140.71
768,70296,FI0027,1761.05
769,70297,FI0027,10393.95
770,BA056,FI0027,1760.15
771,PI042,,-5548.84
772,PI042,,1311
773,70304,,-4499.58
774,70304,,17864
775,70311,,30
776,70310,C0536,-42.81
777,MU007,C0536,-20
778,CA008,,6790
779,MAS020,,300
780,70290,C0432,-478.2
781,70291,C0432,-300
782,MAS011,FI0022,2002
783,CA034,FI0022,3816.5
784,PI023,FI0022,8849
785,PI022,FI0022,6860
786,GA035,FI0022,1000
787,RO050,FI0022,1000
788,MU018,FI0022,1000
789,70303,C0598,-80
790,70290,C0598,-44.23
791,CA034,C0598,-40.16
792,TR026,,27400
793,TR026,,-54800
794,70290,C0526,-70.46
795,70310,C0679,-126.7
796,MU007,C0679,-20
797,RO067,,-16603.304
798,RO097,,-25160
799,70290,C0408,-121.97
800,70310,C0679,-38.8
801,70301,C0540,-1507.72
802,70290,C0501,-107.01
803,MU007,C0501,-20
804,70303,C0684,-2600
805,MU007,C0684,-100
806,70290,C0552,-754.43
807,70303,C0597,-2400
808,70290,C0597,-223.58
809,CA034,C0597,-191.91
810,70310,C0406,-62.71
811,70310,C0393,-158.52
812,70310,C0391,-64.53
813,70310,C0409,-82.28
814,70290,C0651,-66.11
815,70310,C0414,-19.31
816,70309,C0414,-20.75
817,70310,C0418,-22.66
818,70309,C0418,-41.4
819,70290,C0681,-290.77
820,CA034,C0681,-199.58
821,MU007,C0681,-200
822,MAS020,C0681,-50
823,70291,C0681,-150
824,70290,C0400,-120.81
825,70303,C0685,-200
826,PI042,C0685,-22.15
827,70291,C0685,-15
828,70290,C0394,-75.37
829,70290,C0683,-238.94
830,70310,C0586,-38.17
831,70309,C0585,-22
832,70310,C0585,-17.46
833,70310,C0483,-41.76
834,70303,C0483,-20
835,70290,C0412,-269.94
836,70310,C0490,-105.42
837,70309,C0490,-23.13
838,70303,C0490,-40
839,70310,C0402,-733.14
840,PI001,C0402,-200
841,CA034,C0510,-49.3
842,70287,C0510,-20
843,70291,C0510,-30
844,CA062,C0510,-25.32
845,70303,C0563,-120
846,70290,C0563,-78.95
847,70291,C0563,-30
848,70310,C0449,-44.64
849,70290,C0608,-116.28
850,70291,C0605,-60
851,MU007,C0542,-600
852,70290,C0542,-149
853,70310,C0542,-415.71
854,70310,C0514,-1208.14
855,70310,C0472,-63.69
856,MU007,C0472,-60
857,BA030,C0472,-40
858,70310,C0417,-167.38
859,70303,C0514,-200
860,CA034,C0396,-179.68
861,70309,C0396,-994.9
862,70310,C0396,-19.03
863,70287,C0396,-17
864,70290,C0396,-167.47
865,70296,,-1761.05
866,CA062,,-25983.52
867,70310,C0686,-87.48
868,GA035,,-1000
869,70310,C0690,-79.76
870,MU018,,-1000
871,70310,C0499,-238.62
872,70309,C0499,-57.7
873,CA008,C0431,-50
874,70290,C0431,-46.71
875,70291,C0472,-15
876,70310,C0454,-42.14
877,70290,C0454,-241.94
878,70291,C0454,-30
879,70310,C0694,-38.24
880,BA030,C0694,-20
881,70287,C0396,-45
882,MAS011,C0691,-400.05
883,70290,C0691,-298.32
884,70309,C0691,-403.51
885,70316,C0471,-54.6
886,70290,C0687,-74.07
887,70303,C0687,-100
888,70310,C0687,-198.22
889,70290,C0689,-27.9
890,70303,C0689,-100
891,70310,C0689,-244.26
892,70290,C0693,-209.1
893,70291,C0453,-45
894,BA030,C0394,-100
895,70316,C0695,-106.65
896,PI001,C0680,-300
897,70290,C0680,-403.12
898,GA015,C0680,-91
899,MU007,C0680,-100
900,70291,C0680,-75
901,CA034,C0680,-98.7
902,70290,C0475,-105.27
903,BA030,C0475,-120
904,70310,C0475,-20.01
905,70290,C0399,-100.88
906,70291,C0399,-105
907,PI001,C0462,-640
908,70290,C0520,-1001.91
909,70310,C0688,-63.23
910,70290,C0574,-391.06
911,70310,C0680,-102.83
912,PI001,C0680,-300
913,70309,C0425,-2010.86
914,PI022,C0425,-1197
915,GA015,C0425,-390
916,FO022,C0425,-2074.3
917,RO067,C0425,-1360
918,70303,C0697,-200
919,70309,C0697,-99.5
920,70310,C0470,-205.63
921,70309,C0470,-21.25
922,70290,C0529,-304.29
923,70306,C0529,-20
924,BA030,C0682,-40
925,70309,C0682,-20.35
926,70310,C0682,-269.49
927,70290,C0515,-215.5
928,70316,C0515,-74.55
929,BA030,C0515,-100
930,70291,C0515,-15
931,70306,C0515,-20
932,70301,C0540,-192.83
933,BA030,C0665,-100
934,70291,C0665,-15
935,70306,C0665,-20
936,70310,C0560,-21.25
937,70291,C0560,-15
938,70290,C0560,-133.83
939,PI001,C0560,-40
940,70316,C0434,-198.5
941,PI001,C0434,-480
942,70303,C0699,-40
943,70303,C0700,-240
944,70309,C0700,-71.2
945,70309,C0682,-60
946,70306,C0666,-60
947,BA030,C0666,-100
948,70287,C0666,-19
949,70291,C0666,-15
950,BA030,C0457,-100
951,70291,C0457,-30
952,MU007,C0700,-40
953,MU007,C0697,-100
954,MU007,C0686,-20
955,70310,C0480,-322.49
956,70309,C0480,-196.1
957,70303,C0480,-40
958,70310,C0696,-240.19
959,70309,C0696,-96.24
960,70316,C0696,-26.05
961,70303,C0696,-60
962,CA008,C0457,-10
963,BA030,C0457,-40
964,70306,C0457,-20
965,CA008,C0665,-50
966,BA030,C0445,-100
967,70291,C0445,-30
968,70309,C0532,-63.05
969,70291,C0532,-15
970,BA030,C0532,-100
971,PI001,C0532,-140
972,70311,C0401,-30
973,70290,C0401,-16.13
974,70310,C0422,-1208.48
975,70309,C0422,-98.65
976,70303,C0550,-4000
977,PI022,C0550,-2260
978,70309,C0550,-993.6
979,PI028,C0550,-1000
980,70290,C0550,-1493.54
981,BA030,C0550,-200
982,RO067,C0550,-1360
983,RO097,C0550,-2000
984,PI001,C0654,-200
985,MU007,C0654,-20
986,70303,C0422,-60
987,70306,C0459,-60
988,70287,C0459,-14
989,BA030,C0459,-100
990,70291,C0459,-15
991,70316,C0459,-14.8
992,70290,C0459,-93.91
993,70306,C0650,-300
994,BA030,C0632,-200
995,70306,C0632,-200
996,70287,C0632,-15
997,MU007,C0569,-20
998,70290,C0569,-40.78
999,70316,C0569,-31.25
1000,PI028,C0701,-1000
1001,BA030,C0639,-100
1002,70291,C0639,-15
1003,70310,C0531,-83.34
1004,MU007,C0531,-20
1005,70287,C0668,-11
1006,70306,C0668,-100
1007,70290,C0668,-303.24
1008,BA030,C0668,-200
1009,70300,C0668,-443.8
1010,70291,C0668,-150
1011,70223,C0400,-70.2
1012,BA030,C0623,-120
1013,70316,C0623,-111.5
1014,70287,C0623,-73
1015,BA030,C0627,-140
1016,70291,C0627,-15
1017,MU007,C0698,-240
1018,PI028,C0698,-30
1019,PI042,C0698,-18.13
1020,70303,C0702,-20
1021,MU007,C0702,-20
1022,PI028,C0701,1000
1023,RO097,C0598,-90
1024,70287,C0598,-17
1025,70303,C0397,-100
1026,BA030,C0397,-40
1027,MU007,C0397,-20
1028,70316,C0397,-14.65
1029,RO097,C0397,-30
1030,70316,C0526,-73.95
1031,70306,C0408,-60
1032,70287,C0408,-15
1033,RO097,C0408,-200
1034,70290,C0408,-139.7
1035,70316,C0408,-13.6
1036,70309,C0704,-59.45
1037,CA034,C0704,-61.79
1038,CA008,C0704,-30
1039,RO097,C0704,-30
1040,MU007,C0704,-40
1041,70290,C0704,-33.06
1042,70310,C0495,-226.44
1043,PI028,C0495,-30
1044,BA030,C0495,-40
1045,70303,C0508,-260
1046,RO097,C0508,-30
1047,RO097,C0704,-30
1048,70303,C0507,-280
1049,RO097,C0507,-20
1050,BA030,C0507,-20
1051,MU007,C0504,-100
1052,70309,C0504,-20.84
1053,BA030,C0504,-20
1054,70309,C0707,-18.65
1055,70300,C0708,-109.81
1056,PI028,C0708,-70
1057,BA030,C0708,-20
1058,70309,C0507,-18.5
1059,70309,C0500,-104.66
1060,70303,C0409,-40
1061,70309,C0409,-41.64
1062,MU007,C0409,-20
1063,PI028,C0468,-70
1064,RO097,C0468,-10
1065,70291,C0468,-15
1066,70316,C0671,-73.75
1067,PI028,C0391,-20
1068,70309,C0391,-42.1
1069,70309,C0418,-41.2
1070,PI028,C0418,-30
1071,PI028,C0414,-40
